"","variable_codename_use","variable_description_use","harmonized_categories","harmonized_categories_description","in_dataset","corrected_codename_2day_separate"
"1","DMDBORN4","In what country {were you/was SP} born?","1","Born in 50 US states or Washington, DC","Demographics",NA
"2","DMDBORN4","In what country {were you/was SP} born?","2","Others","Demographics",NA
"3","DMDBORN4","In what country {were you/was SP} born?","77","Refused","Demographics",NA
"4","DMDBORN4","In what country {were you/was SP} born?","99","Don't Know","Demographics",NA
"5","DMDEDUC2","Education level - Adults 20+","1","Less Than 9th Grade","Demographics",NA
"6","DMDEDUC2","Education level - Adults 20+","2","9-11th Grade (Includes 12th grade with no diploma)","Demographics",NA
"7","DMDEDUC2","Education level - Adults 20+","3","High School Grad/GED or Equivalent","Demographics",NA
"8","DMDEDUC2","Education level - Adults 20+","4","Some College or AA degree","Demographics",NA
"9","DMDEDUC2","Education level - Adults 20+","5","College Graduate or above","Demographics",NA
"10","DMDEDUC2","Education level - Adults 20+","7","Refused","Demographics",NA
"11","DMDEDUC2","Education level - Adults 20+","9","Don't know","Demographics",NA
"12","DMDEDUC3","Education level - Children/Youth 6-19","0","Never Attended / Kindergarten Only","Demographics",NA
"13","DMDEDUC3","Education level - Children/Youth 6-19","1","1st Grade","Demographics",NA
"14","DMDEDUC3","Education level - Children/Youth 6-19","2","2nd Grade","Demographics",NA
"15","DMDEDUC3","Education level - Children/Youth 6-19","3","3rd Grade","Demographics",NA
"16","DMDEDUC3","Education level - Children/Youth 6-19","4","4th Grade","Demographics",NA
"17","DMDEDUC3","Education level - Children/Youth 6-19","5","5th Grade","Demographics",NA
"18","DMDEDUC3","Education level - Children/Youth 6-19","6","6th Grade","Demographics",NA
"19","DMDEDUC3","Education level - Children/Youth 6-19","7","7th Grade","Demographics",NA
"20","DMDEDUC3","Education level - Children/Youth 6-19","8","8th Grade","Demographics",NA
"21","DMDEDUC3","Education level - Children/Youth 6-19","9","9th Grade","Demographics",NA
"22","DMDEDUC3","Education level - Children/Youth 6-19","10","10th Grade","Demographics",NA
"23","DMDEDUC3","Education level - Children/Youth 6-19","11","11th Grade","Demographics",NA
"24","DMDEDUC3","Education level - Children/Youth 6-19","12","12th Grade, No Diploma","Demographics",NA
"25","DMDEDUC3","Education level - Children/Youth 6-19","13","High School Graduate","Demographics",NA
"26","DMDEDUC3","Education level - Children/Youth 6-19","14","GED or Equivalent","Demographics",NA
"27","DMDEDUC3","Education level - Children/Youth 6-19","15","More than high school","Demographics",NA
"28","DMDEDUC3","Education level - Children/Youth 6-19","55","Less Than 5th Grade","Demographics",NA
