,Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
1,ACD010A,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
2,ACD010B,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
3,ACD010C,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
4,ACD040,Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
5,SEQN,Respondent sequence number.,ACQ_D,Acculturation,2005,2006,Questionnaire,None
6,ALQ101,"The next questions are about drinking alcoholic beverages.  Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage?  By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
7,ALQ110,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
8,ALQ120Q,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
9,ALQ120U,UNIT OF MEASURE.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
10,ALQ130,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
11,ALQ140Q,"In the past 12 months, on how many days did {you/SP} have 5 or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have 5 or more drinks in a single day?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
12,ALQ140U,UNIT OF MEASURE.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
13,ALQ150,Was there ever a time or times in {your/SP's} life when {you/he/she} drank 5 or more drinks of any kind of alcoholic beverage almost every day?,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
14,SEQN,Respondent sequence number.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
15,ALQ101,"The next questions are about drinking alcoholic beverages.  Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage?  By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.",ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
16,ALQ110,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
17,ALQ120Q,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
18,ALQ120U,UNIT OF MEASURE.,ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
19,ALQ130,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
20,ALQ140Q,"In the past 12 months, on how many days did {you/SP} have 5 or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have 5 or more drinks in a single day?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
21,ALQ140U,UNIT OF MEASURE.,ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
22,ALQ150,Was there ever a time or times in {your/SP's} life when {you/he/she} drank 5 or more drinks of any kind of alcoholic beverage almost every day?,ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
23,SEQN,Respondent sequence number.,ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
24,AGD020,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?,AGQ_D,Allergy,2005,2006,Questionnaire,None
25,AGD050,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?,AGQ_D,Allergy,2005,2006,Questionnaire,None
26,AGD170,At what age did this itchy rash first occur?,AGQ_D,Allergy,2005,2006,Questionnaire,None
27,AGQ010,Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?,AGQ_D,Allergy,2005,2006,Questionnaire,None
28,AGQ030,"During the past 12 months, {have you/has SP} had an episode of hay fever?",AGQ_D,Allergy,2005,2006,Questionnaire,None
29,AGQ040,Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?,AGQ_D,Allergy,2005,2006,Questionnaire,None
30,AGQ060,"During the past 12 months, {have you/has SP} had any allergy symptoms or an allergy attack?",AGQ_D,Allergy,2005,2006,Questionnaire,None
31,AGQ070,"In the last 12 months, {have you/has SP} removed a dog, cat or other small furry animal from {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?",AGQ_D,Allergy,2005,2006,Questionnaire,None
32,AGQ080A,Which kind of pet was removed from {your/SP's} home?,AGQ_D,Allergy,2005,2006,Questionnaire,None
33,AGQ080B,Which kind of pet was removed from {your/SP's} home?,AGQ_D,Allergy,2005,2006,Questionnaire,None
34,AGQ080C,Which kind of pet was removed from {your/SP's} home?,AGQ_D,Allergy,2005,2006,Questionnaire,None
