codename_original,categories_num,categories_description,new_categories,new_categories_description,cycle_-1,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9,cycle_10,new_codename
HAB1,9,Don't know,9,Don't know,x,,,,,,,,,,,HSD010
HAB1,1,Excellent,1,Excellent,x,,,,,,,,,,,HSD010
HAB1,4,Fair,4,Fair,x,,,,,,,,,,,HSD010
HAB1,3,Good,3,Good,x,,,,,,,,,,,HSD010
HAB1,5,Poor,5,Poor,x,,,,,,,,,,,HSD010
HAB1,2,Very good,2,Very good,x,,,,,,,,,,,HSD010
HSD010,9,Don't know,9,Don't know,,,x,x,x,x,x,x,x,x,x,HSD010
HSD010,1,"Excellent,",1,Excellent,,,x,x,x,x,x,x,x,x,x,HSD010
HSD010,4,"Fair, or",4,Fair,,,x,x,x,x,x,x,x,x,x,HSD010
HSD010,3,"Good,",3,Good,,,x,x,x,x,x,x,x,x,x,HSD010
HSD010,5,Poor?,5,Poor,,,x,x,x,x,x,x,x,x,x,HSD010
HSD010,7,Refused,7,Refused,,,x,x,x,x,x,x,x,x,x,HSD010
HSD010,2,"Very good,",2,Very good,,,x,x,x,x,x,x,x,x,x,HSD010
HAC1E,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ010
MCQ010,9,Don't know,9,Don't know,,x,x,x,x,x,x,x,x,x,x,MCQ010
MCQ010,2,No,2,No,,x,x,x,x,x,x,x,x,x,x,MCQ010
HAC1E,2,No (HAC1F),2,No,x,,,,,,,,,,,MCQ010
MCQ010,7,Refused,7,Refused,,x,x,x,x,x,x,x,x,x,x,MCQ010
MCQ010,1,Yes,1,Yes,,x,x,x,x,x,x,x,x,x,x,MCQ010
HAC1E,1,Yes (HAC2E),1,Yes,x,,,,,,,,,,,MCQ010
MCQ020,1-19,1-19 years old,1-19,1-19 years old,,x,,,,,,,,,,MCQ025
MCQ025,1-79,1-79 years old,1-79,1-79 years old,,,,,,,x,x,x,x,x,MCQ025
MCQ025,1-84,1-84 years old,1-84,1-84 years old,,,x,x,x,x,,,,,,MCQ025
HAC3ER,1-88,1-88 years old,1-88,1-88 years old,x,,,,,,,,,,,MCQ025
MCQ025,80,80 years or older,80,80 years or older,,,,,,,x,x,x,x,x,MCQ025
MCQ020,85,85 years or older,85,85 years or older,,x,,,,,,,,,,MCQ025
MCQ025,85,85 years or older,85,85 years or older,,,x,x,x,x,,,,,,MCQ025
HAC3ER,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ025
MCQ020,99999,Don't know,99999,Don't know,,x,,,,,,,,,,MCQ025
MCQ025,99999,Don't know,99999,Don't know,,,x,x,x,x,x,x,x,x,x,MCQ025
HAC3ER,777,Less than 1 year,1,Less than 1 year,x,,,,,,,,,,,MCQ025
MCQ020,77777,Refused,77777,Refused,,x,,,,,,,,,,MCQ025
MCQ025,77777,Refused,77777,Refused,,,x,x,x,x,x,x,x,x,x,MCQ025
HAC2E,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ035
MCQ030,9,Don't know,9,Don't know,,x,,,,,,,,,,MCQ035
MCQ035,9,Don't know,9,Don't know,,,x,x,x,x,x,x,x,x,x,MCQ035
MCQ030,2,No,2,No,,x,,,,,,,,,,MCQ035
MCQ035,2,No,2,No,,,x,x,x,x,x,x,x,x,x,MCQ035
HAC2E,2,No (HAC1F),2,No,x,,,,,,,,,,,MCQ035
MCQ030,7,Refused,7,Refused,,x,,,,,,,,,,MCQ035
MCQ035,7,Refused,7,Refused,,,x,x,x,x,x,x,x,x,x,MCQ035
MCQ030,1,Yes,1,Yes,,x,,,,,,,,,,MCQ035
MCQ035,1,Yes,1,Yes,,,x,x,x,x,x,x,x,x,x,MCQ035
HAC2E,1,Yes (HAC2E),1,Yes,x,,,,,,,,,,,MCQ035
MCQ100,9,Don't know,9,Don't know,,x,,,,,,,,,,MCQ100
HAE2,9,Don't know (HAE6),9,Don't know,x,,,,,,,,,,,MCQ100
MCQ100,2,No,2,No,,x,,,,,,,,,,MCQ100
HAE2,2,No (HAE6),2,No,x,,,,,,,,,,,MCQ100
MCQ100,7,Refused,7,Refused,,x,,,,,,,,,,MCQ100
HAE2,1,Yes,1,Yes,x,,,,,,,,,,,MCQ100
MCQ100,1,Yes,1,Yes,,x,,,,,,,,,,MCQ100
HAE4A,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ110
MCQ110,9,Don't know,9,Don't know,,x,,,,,,,,,,MCQ110
HAE4A,2,No,2,No,x,,,,,,,,,,,MCQ110
MCQ110,2,No,2,No,,x,,,,,,,,,,MCQ110
MCQ110,7,Refused,7,Refused,,x,,,,,,,,,,MCQ110
HAE4A,1,Yes,1,Yes,x,,,,,,,,,,,MCQ110
MCQ110,1,Yes,1,Yes,,x,,,,,,,,,,MCQ110
HAP3,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ140
MCQ140,9,Don't know,9,Don't know,,x,x,x,x,x,x,x,,,,MCQ140
HAP3,2,No,2,No,x,,,,,,,,,,,MCQ140
MCQ140,2,No,2,No,,x,x,x,x,x,x,x,,,,MCQ140
MCQ140,7,Refused,7,Refused,,x,x,x,x,x,x,x,,,,MCQ140
HAP3,1,Yes,1,Yes,x,,,,,,,,,,,MCQ140
MCQ140,1,Yes,1,Yes,,x,x,x,x,x,x,x,,,,MCQ140
MCQ148,10,10 years old,10,10 years old,,x,,,,,,,,,,MCQ151
MCQ151,10,10 years old,10,10 years old,,,,,,,,,x,x,x,MCQ151
MCQ148,11,11 years old,11,11 years old,,x,,,,,,,,,,MCQ151
MCQ151,11,11 years old,11,11 years old,,,,,,,,,x,x,x,MCQ151
MCQ148,7,7 years old,7,7 years old,,x,,,,,,,,,,MCQ151
MCQ151,7,7 years old,7,7 years old,,,,,,,,,x,x,x,MCQ151
MCQ148,8,8 years old,8,8 years old,,x,,,,,,,,,,MCQ151
MCQ151,8,8 years old,8,8 years old,,,,,,,,,x,x,x,MCQ151
MCQ148,9,9 years old,9,9 years old,,x,,,,,,,,,,MCQ151
MCQ151,9,9 years old,9,9 years old,,,,,,,,,x,x,x,MCQ151
MCQ148,9999,Don't know,9999,Don't know,,x,,,,,,,,,,MCQ151
MCQ151,9999,Don't know,9999,Don't know,,,,,,,,,x,x,x,MCQ151
MCQ148,7777,Refused,7777,Refused,,x,,,,,,,,,,MCQ151
MCQ151,7777,Refused,7777,Refused,,,,,,,,,x,x,x,MCQ151
HAC1A,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ160A
MCQ160A,9,Don't know,9,Don't know,,x,x,x,x,x,x,x,x,x,x,MCQ160A
MCQ160A,2,No,2,No,,x,x,x,x,x,x,x,x,x,x,MCQ160A
HAC1A,2,No (HAC1C),2,No,x,,,,,,,,,,,MCQ160A
MCQ160A,7,Refused,7,Refused,,x,x,x,x,x,x,x,x,x,x,MCQ160A
MCQ160A,1,Yes,1,Yes,,x,x,x,x,x,x,x,x,x,x,MCQ160A
HAC1A,1,Yes (HAC3AR),1,Yes,x,,,,,,,,,,,MCQ160A
HAC1C,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ160B
MCQ160B,9,Don't know,9,Don't know,,x,x,x,x,x,x,x,x,x,x,MCQ160B
MCQ160B,2,No,2,No,,x,x,x,x,x,x,x,x,x,x,MCQ160B
HAC1C,2,No (HAC1D),2,No,x,,,,,,,,,,,MCQ160B
MCQ160B,7,Refused,7,Refused,,x,x,x,x,x,x,x,x,x,x,MCQ160B
MCQ160B,1,Yes,1,Yes,,x,x,x,x,x,x,x,x,x,x,MCQ160B
HAC1C,1,Yes (HAC3CR),1,Yes,x,,,,,,,,,,,MCQ160B
HAF10,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ160E
MCQ160E,9,Don't know,9,Don't know,,x,x,x,x,x,x,x,x,x,x,MCQ160E
MCQ160E,2,No,2,No,,x,x,x,x,x,x,x,x,x,x,MCQ160E
HAF10,2,No (HAF14),2,No,x,,,,,,,,,,,MCQ160E
MCQ160E,7,Refused,7,Refused,,x,x,x,x,x,x,x,x,x,x,MCQ160E
HAF10,1,Yes,1,Yes,x,,,,,,,,,,,MCQ160E
MCQ160E,1,Yes,1,Yes,,x,x,x,x,x,x,x,x,x,x,MCQ160E
HAC1D,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ160F
HAC1D,2,No (HAC1E),2,No,x,,,,,,,,,,,MCQ160F
HAC1D,1,Yes (HAC3DR),1,Yes,x,,,,,,,,,,,MCQ160F
HAC1G,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ160G
MCQ160G,9,Don't know,9,Don't know,,x,x,x,x,x,x,x,x,x,x,MCQ160G
MCQ160G,2,No,2,No,,x,x,x,x,x,x,x,x,x,x,MCQ160G
HAC1G,2,No (HAC1G),2,No,x,,,,,,,,,,,MCQ160G
MCQ160G,7,Refused,7,Refused,,x,x,x,x,x,x,x,x,x,x,MCQ160G
MCQ160G,1,Yes,1,Yes,,x,x,x,x,x,x,x,x,x,x,MCQ160G
HAC1G,1,Yes (HAC2F),1,Yes,x,,,,,,,,,,,MCQ160G
HAC1J,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ160H
MCQ160H,9,Don't know,9,Don't know,,x,,,,,,,,,,MCQ160H
MCQ160H,2,No,2,No,,x,,,,,,,,,,MCQ160H
HAC1J,2,No (HAC1K),2,No,x,,,,,,,,,,,MCQ160H
MCQ160H,7,Refused,7,Refused,,x,,,,,,,,,,MCQ160H
MCQ160H,1,Yes,1,Yes,,x,,,,,,,,,,MCQ160H
HAC1J,1,Yes (HAC2J),1,Yes,x,,,,,,,,,,,MCQ160H
HAC1F,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ160K
MCQ160K,9,Don't know,9,Don't know,,x,x,x,x,x,x,x,x,x,x,MCQ160K
MCQ160K,2,No,2,No,,x,x,x,x,x,x,x,x,x,x,MCQ160K
HAC1F,2,No (HAC1F),2,No,x,,,,,,,,,,,MCQ160K
MCQ160K,7,Refused,7,Refused,,x,x,x,x,x,x,x,x,x,x,MCQ160K
MCQ160K,1,Yes,1,Yes,,x,x,x,x,x,x,x,x,x,x,MCQ160K
HAC1F,1,Yes (HAC2E),1,Yes,x,,,,,,,,,,,MCQ160K
HAC1K,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ160M
MCD160M,9,Don't know,9,Don't know,,,x,,,,,,,,,MCQ160M
MCQ160I,9,Don't know,9,Don't know,,x,,,,,,,,,,MCQ160M
MCQ160M,9,Don't know,9,Don't know,,,,x,x,x,x,x,x,x,x,MCQ160M
MCD160M,2,No,2,No,,,x,,,,,,,,,MCQ160M
MCQ160I,2,No,2,No,,x,,,,,,,,,,MCQ160M
MCQ160M,2,No,2,No,,,,x,x,x,x,x,x,x,x,MCQ160M
HAC1K,2,No (HAC1L),2,No,x,,,,,,,,,,,MCQ160M
MCD160M,7,Refused,7,Refused,,,x,,,,,,,,,MCQ160M
MCQ160I,7,Refused,7,Refused,,x,,,,,,,,,,MCQ160M
MCQ160M,7,Refused,7,Refused,,,,x,x,x,x,x,x,x,x,MCQ160M
MCD160M,1,Yes,1,Yes,,,x,,,,,,,,,MCQ160M
MCQ160I,1,Yes,1,Yes,,x,,,,,,,,,,MCQ160M
MCQ160M,1,Yes,1,Yes,,,,x,x,x,x,x,x,x,x,MCQ160M
HAC1K,1,Yes (HAC2K),1,Yes,x,,,,,,,,,,,MCQ160M
HAC1M,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ160N
MCQ160N,9,Don't know,9,Don't know,,,,,,x,x,x,x,x,x,MCQ160N
MCQ160N,2,No,2,No,,,,,,x,x,x,x,x,x,MCQ160N
