"","column_name","eights"
"1","SDDSRVYR",NA
"2","HAE11A",8
"3","HAE11B",8
"4","HAE11C",8
"5","HAE2",8
"6","HAE3",8
"7","HAE4A",8
"8","HAE4B",8
"9","HAE4C",8
"10","HAE4D1",NA
"11","HAE4D2",NA
"12","HAE4D",8
"13","HAE4D3",NA
"14","HAE4D5",NA
"15","HAE4D6",NA
"16","HAE5A",8
"17","HAE5B",8
"18","HAE5C",8
"19","HAE5D1",8
"20","HAE5D2",8
"21","HAE6",8
"22","HAE1",8
"23","HAE7",8
"24","HAE8A",8
"25","HAE8B",8
"26","HAE8C",8
"27","HAE8D",8
"28","HAE9A",8
"29","HAE9B",8
"30","HAE9C",8
"31","HAE9D",8
"32","HAD5R",888
"33","HAD1",8
"34","HAD6",8
"35","HAD9S",8888
"36","HAD9S",8
"37","HAD10",8
"38","HAD15",8
"39","HAD11BS",888
"40","HAD13S",88888
"41","HAD13S",8
"42","HAB2",8
"43","HAB3",8
"44","HAB4",88
"45","HAB4",8
"46","HAB5",888
"47","HAB5",8
"48","HAB6S",8
"49","HAB6S",8888
"50","HAB7",88
"51","HAC1H",8
"52","HAC1I",8
"53","HAC1L",NA
"54","HAC1N",8
"55","HAC2H",8
"56","HAC3HR",888
"57","HAC3HR",8
"58","HAC3HR",88
"59","HAC3IR",888
"60","HAC3IR",88
"61","HAC3LR",8
"62","HAC3NR",888
"63","HAC3NR",88
"64","HAC3OR",888
"65","HAC3OR",88
"66","HAC3OR",8
"67","HAC3OS",88
"68","HAC3OS",8
"69","HAC5A1",8
"70","HAC5A10",8
"71","HAC5A11",8
"72","HAC5A12",8
"73","HAC5A2",8
"74","HAC5A3",8
"75","HAC5A4",8
"76","HAC5A5",8
"77","HAC5A6",8
"78","HAC5A7",8
"79","HAC5A8",8
"80","HAC5A9",8
"81","HAC5B1",8
"82","HAC5B10",8
"83","HAC5B11",8
"84","HAC5B12",8
"85","HAC5B2",8
"86","HAC5B3",8
"87","HAC5B4",8
"88","HAC5B5",8
"89","HAC5B6",8
"90","HAC5B7",8
"91","HAC5B8",8
"92","HAC5B9",8
"93","HAC7A",8
"94","HAD11AS",888
"95","HAD12S",8
"96","HAD12S",88888
"97","HAD14",8
"98","HAD3",8
"99","HAD4",8
"100","HAD7S",88
"101","HAD8",888
"102","HAD8",8
"103","HAD8",88
"104","HAE10",NA
"105","HAE4D4",NA
"106","HAE5D3",8
"107","HAE5D4",8
"108","HAE5D5",8
"109","HAE5D6",8
"110","HAF1",8
"111","HAF11",88
"112","HAF13R",888
"113","HAF14",8
"114","HAF15",8
"115","HAF16",8
"116","HAF17",8
"117","HAF18",8
"118","HAF19",8
"119","HAF2",8
"120","HAF20",8
"121","HAF21",8
"122","HAF22",8
"123","HAF23",8
"124","HAF24",8
"125","HAF25",8
"126","HAF26",8
"127","HAF27",8
"128","HAF3",8
"129","HAF4",8
"130","HAF5",8
"131","HAF6",8
"132","HAF7A",8
"133","HAF7B",8
"134","HAF7C",8
"135","HAF7D",8
"136","HAF7E",8
"137","HAF7F",8
"138","HAF7G",8
"139","HAF7H",8
"140","HAF9",8
"141","HAG1",NA
"142","HAG10A",8
"143","HAG10B",8
"144","HAG10C",8
"145","HAG10D",8
"146","HAG10E",NA
"147","HAG10F",NA
"148","HAG11",8
"149","HAG12",8
"150","HAG13",NA
"151","HAG14",88
"152","HAG14",8
"153","HAG15",8
"154","HAG16",8
"155","HAG17A",8
"156","HAG17AA",8
"157","HAG17B",8
"158","HAG17BB",8
"159","HAG17C",8
"160","HAG17CC",8
"161","HAG17D",8
"162","HAG17DD",8
"163","HAG17E",8
"164","HAG17EE",8
"165","HAG17F",8
"166","HAG17FF",8
"167","HAG17G",8
"168","HAG17H",8
"169","HAG17I",8
"170","HAG17J",8
